language,source,gram,family,1,2,3,4,5
Franco-Provençal,wikipedia,trigram,NA,1.3977107119907115,-0.06254242732148896,-0.43300949737128247,-0.6301899768058953,-0.2719688104920446
Friulian,wikipedia,unigram,NA,-0.2223645185532508,0.07544678466848875,-0.41501974244184936,-0.20033479226736928,0.7622722685939802
Friulian,wikipedia,trigram,NA,1.2189695553422089,0.06129521163801388,-0.5052609645613506,-0.4141966997472184,-0.36080710267165417
Ladino,wikipedia,unigram,Indo-European,-0.20195665543421892,-0.1078316911004138,-0.09694510611942064,-0.4701795925190977,0.8769130451731519
Ladino,wikipedia,trigram,Indo-European,1.300947975406043,-0.4117357722739554,-0.3612998520989783,-0.3071325903139839,-0.2207797607191253
Lombard,wikipedia,unigram,NA,-0.019823099135595434,-0.44416287329716164,-0.12725252669142995,-0.38822025565040263,0.9794587547745892
Lombard,wikipedia,trigram,NA,1.369322902978349,-0.5474187111306245,-0.42574016152966077,-0.3254686477475992,-0.07069538257046504
Mirandese,wikipedia,unigram,NA,-0.17098479439339842,0.015829155296993136,-0.24333504396984118,-0.41693789705885775,0.8154285801251051
Mirandese,wikipedia,trigram,NA,1.1535493006704403,0.007251669426093343,-0.5527024661705848,-0.422359967680759,-0.1857385362451902
Neapolitan,wikipedia,unigram,Indo-European,0.5466344577883189,-0.12378150768410423,-0.8130629362892026,-0.5597454630441598,0.9499554492291487
Neapolitan,wikipedia,trigram,Indo-European,1.7939901856347769,-0.8771835437629505,-0.6660948213856004,-0.4694813279417034,0.21876950745547696
Occitan,wikipedia,unigram,Indo-European,-0.035730102714900625,-0.16992456172455084,-0.23570878859430344,-0.5143012375017921,0.9556646905355466
Occitan,wikipedia,trigram,Indo-European,1.4246950218443475,-0.06324689565970187,-0.6112504126346079,-0.47593620095238975,-0.2742615125976484
Picard,wikipedia,unigram,NA,0.21510037575326635,-0.08934536574318797,-0.19102549451157103,-0.39073396269722416,0.4560044471987159
Picard,wikipedia,trigram,NA,1.6775341157420405,-0.12087393524479428,-0.4249379386727199,-0.6801107796297271,-0.4516114621947991
Sardinian,wikipedia,unigram,NA,-0.09566559112539208,-0.17979251236380156,-0.2545506736946561,-0.43055059746230384,0.9605593746461532
Sardinian,wikipedia,trigram,NA,1.2748516321362027,-0.15409411312347565,-0.5737469577234233,-0.41473931443515544,-0.13227124685414782
Sicilian,wikipedia,unigram,NA,-0.03636215888825545,-0.43629668774119157,-0.07091801380717122,-0.2119810310389454,0.7555578914755645
Sicilian,wikipedia,trigram,NA,1.4612632621404595,0.0958170525501778,-0.4643850132512579,-0.7307483388228336,-0.36194696261654613
Venetian,wikipedia,unigram,NA,-0.4200228957189056,0.028909297905744147,-0.37315075650664165,-0.1828188391458716,0.9470831934656752
Venetian,wikipedia,trigram,NA,0.9823989923002545,-0.3648053695545881,-0.29632497492673626,-0.21860836215995993,-0.10266028565896979
Czech,wikipedia,unigram,Indo-European,-0.2211210115583655,-0.08422130466402544,-0.18783897132682537,-0.0524609744868596,0.5456422620360772
Czech,wikipedia,trigram,Indo-European,2.0862696348835996,0.029185830789754785,-0.6593418378903775,-0.6907118646492688,-0.7654017631337081
Rusyn,wikipedia,unigram,NA,0.03649883943216192,-0.32590871754924056,-0.09976379411337577,0.014971754018446415,0.37420191821200843
Rusyn,wikipedia,trigram,NA,2.025778890595629,-0.13999872235963218,-0.6020075063776555,-0.5100993490888539,-0.7736733127694871
Slovenian,wikipedia,unigram,Indo-European,0.06954906487603285,-0.23590032043720788,-0.3182310960546628,-0.07381569321736414,0.5583980448332007
Slovenian,wikipedia,trigram,Indo-European,2.1050246714564804,-0.10505815644879068,-0.6114328459422607,-0.6558012119002917,-0.7327324571651368
Uzbek,wikipedia,unigram,NA,0.22451747792587096,-0.06200083625341435,0.07181703485955993,0.18995593176089365,-0.4242896082929093
Uzbek,wikipedia,trigram,NA,2.266171086444233,-0.12647685489840965,-0.5371328872172298,-0.6187659571638517,-0.9837953871647418
Amharic,wikipedia,unigram,Afro-Asiatic,0.40859687697741665,0.17007184273901954,0.12276494516524838,0.013332228981802086,-0.7147658938634862
Amharic,wikipedia,trigram,Afro-Asiatic,2.4014092161515412,-0.13555232797202854,-0.6277347808213832,-0.7513237662636466,-0.8867983410944829
Zazaki,wikipedia,unigram,NA,0.4514648947348805,-0.29934769363188973,-0.23273984783792212,-0.15865424360499691,0.23927689033992827
Zazaki,wikipedia,trigram,NA,2.2249043415691867,-0.58950425191693,-0.5093535593389742,-0.5799450279766052,-0.5461015023366771
Gilaki,wikipedia,unigram,Indo-European,0.39694824347785573,0.10493401838996697,-0.5112064518100343,-0.14887090588785856,0.15819509583007108
Gilaki,wikipedia,trigram,Indo-European,2.2557785843760167,-0.3666783350642414,-0.7282024757092542,-0.6156906198059305,-0.5452071537965908
Mazandarani,wikipedia,unigram,Indo-European,0.2734002006427394,0.028424796528300877,-0.2960365450509448,-0.0907917754881522,0.08500332336805672
Mazandarani,wikipedia,trigram,Indo-European,1.6832017783799935,-0.026059788622234903,-0.5880852745892025,-0.32151586057424075,-0.7475408545943153
Ossetian,wikipedia,unigram,Indo-European,0.46027572294767394,-0.28570951559724156,-0.21466175406862176,-0.072564756134748,0.11266030285293649
Ossetian,wikipedia,trigram,Indo-European,2.321738375451009,-0.5337649715079809,-0.5052885052236935,-0.5860992017706848,-0.6965856969486498
Pashto,wikipedia,unigram,NA,-0.18240832769899562,0.10473486819909628,-0.08698732986326974,0.25952653034324324,-0.09486574098007505
Pashto,wikipedia,trigram,NA,1.4769013067324055,0.1835220365782,-0.5065523833335648,-0.4241489894870545,-0.729721970489986
Komi,wikipedia,unigram,NA,0.4074215806639363,-0.03417177946500205,-0.34125623228082036,-0.1173540897401395,0.08536052082202605
Komi,wikipedia,trigram,NA,2.3252817820297675,-0.3987264187030124,-0.6256345434632862,-0.543840633834441,-0.7570801860290282
Vepsian,wikipedia,unigram,Uralic,0.12336415704457426,-0.029569039444465428,-0.2884645832846666,-0.05363427264626974,0.24830373833082753
Vepsian,wikipedia,trigram,Uralic,1.5613065384953246,-0.06165951547475146,-0.511424769980378,-0.38015269131315543,-0.6080695617270396
Erzya,wikipedia,unigram,Uralic,0.3101703412517316,-0.14576451289959902,-8.107734936237954e-4,0.16200374471373813,-0.32559879957224647
Erzya,wikipedia,trigram,Uralic,2.1573868779767347,-0.3592703593091011,-0.5639979790561729,-0.45780964580923333,-0.7763088938022276
Konkani,wikipedia,unigram,NA,0.09217023930237644,-0.11932588112839948,-0.03123219591186288,-0.013407927086211302,0.07179576482409544
Konkani,wikipedia,trigram,NA,2.1909146156767827,-0.11374120099829299,-0.6835002091063205,-0.6120997437325809,-0.7815734618395882
Odia,wikipedia,unigram,NA,0.25357958647529033,-0.09410194082443812,0.21378894736161014,0.08408766357143493,-0.4573542565838973
Odia,wikipedia,trigram,NA,1.9329695984149309,0.015379594601643287,-0.6715922427366402,-0.5102453786152148,-0.7665115716647192
Maithili,wikipedia,unigram,Indo-European,0.5558304962900178,-0.38105307910439956,-0.03721997950733247,0.12209180813235498,-0.25964924581064075
Maithili,wikipedia,trigram,Indo-European,2.2759268561718144,-0.7083373093722035,-0.5939016133352005,-0.5450468536964124,-0.4286410797679986
Sanskrit,wikipedia,unigram,NA,0.49556142872588715,-0.08827918925673162,0.12703781567902173,-0.07108626268998641,-0.4632337924581895
Sanskrit,wikipedia,trigram,NA,2.375599759472246,-0.6769840566479917,-0.6215251385297094,-0.47758212761972296,-0.5995084366748217
Sindhi,wikipedia,unigram,Indo-European,0.2667852862362423,0.03700089931246797,0.009757278652954504,0.1617695695616166,-0.4753130337632814
Sindhi,wikipedia,trigram,Indo-European,1.7208957429636864,-0.07608114459751558,-0.46920098698863066,-0.41556344554855995,-0.7600501658289803
Sinhalese,wikipedia,unigram,Indo-European,0.1251338740818353,0.04664052012648767,-0.044837819071981144,0.0475906162703188,-0.17452719140666106
Sinhalese,wikipedia,trigram,Indo-European,2.0036806369585123,0.11472447371850247,-0.6535843596456827,-0.688632474320741,-0.776188276710591
Esperanto,wikipedia,unigram,NA,-0.3627724497238045,-0.012207929805764905,-0.17564225309043424,-0.28467163164406406,0.8352942642640682
Esperanto,wikipedia,trigram,NA,1.3914416350325174,0.17150151225013865,-0.6496036518155273,-0.5112011354048662,-0.402138360062263
Ido,wikipedia,unigram,NA,-0.48475000957768355,0.2541981826199775,-0.3438220658675992,-0.12747726329307163,0.701851156118376
Ido,wikipedia,trigram,NA,1.3588259425957527,-0.6955899077771152,-0.37615026451934885,-0.2089351605505274,-0.07815060974876098
Lithuanian,wikipedia,unigram,Indo-European,0.08842162348681182,-0.1613534747221883,-0.1346939046680382,0.019055673551064523,0.18857008235235106
Lithuanian,wikipedia,trigram,Indo-European,2.4317403826443647,-0.05078147591043547,-0.7860370114755365,-0.6807367205468975,-0.9141851747114956
Latvian,wikipedia,unigram,Indo-European,-0.03448401758064401,-0.21263815027249056,-0.12366084067416772,-9.488438463947091e-4,0.37173185237369744
Latvian,wikipedia,trigram,Indo-European,1.5397061236344611,-0.05348322617221424,-0.5639586529742671,-0.44822207002087544,-0.4740421744671053
Kannada,wikipedia,unigram,Dravidian,-0.16079869709876338,-0.2687227375359438,-0.09090086654956586,0.10107169133688299,0.41935060984739003
Kannada,wikipedia,trigram,Dravidian,2.5015821370951272,0.11512775590956115,-0.8292069053333864,-0.8646224833397742,-0.9228805043315274
Malayalam,wikipedia,unigram,Dravidian,0.24697468744561224,-0.06475099178294474,-0.1916906239049867,-0.0677367337415955,0.0772036619839156
Malayalam,wikipedia,trigram,Dravidian,3.0505049750288054,-0.23350681895610048,-0.9447668931708981,-0.9022696770810857,-0.9699615858207209
Breton,wikipedia,unigram,Indo-European,0.166593883739782,-0.3798750234262238,-0.24781451635027985,-0.21893766707846218,0.6800333231151838
Breton,wikipedia,trigram,Indo-European,1.6506654455407455,-0.5406810411378689,-0.37695926328275897,-0.3403614993689348,-0.3926636417511824
Irish,wikipedia,unigram,Indo-European,-0.22603513460567948,-0.07748223277134825,-0.19444153022249067,-0.16138842798463138,0.6593473255841502
Irish,wikipedia,trigram,Indo-European,1.0739279411714115,-0.3275091242982333,-0.2797256043733287,-0.24935391168306875,-0.2173393008167812
Manx,wikipedia,unigram,Indo-European,-0.533951265976945,0.09093594805074767,-0.05951994438602082,-0.0032868868614621682,0.5058221491736794
Manx,wikipedia,trigram,Indo-European,0.7321008728273486,-0.38136661572926023,-0.10542029041446188,-0.07274984620219782,-0.172564120481429
Burmese,wikipedia,unigram,Sino-Tibetan,0.6905071256602238,-0.16736037396666337,0.21419591423027384,-0.6040386658660757,-0.1333040000577581
Burmese,wikipedia,trigram,Sino-Tibetan,2.343898330151574,-0.3615428137309886,-0.5182788866951478,-0.8414288222478018,-0.6226478074776356
Mingrelian,wikipedia,unigram,Kartvelian,0.2234626832057116,-0.30101350052017173,-0.12196688187872429,-0.0545854987707437,0.254103197963929
Mingrelian,wikipedia,trigram,Kartvelian,2.1755394446684306,-0.3337077173992684,-0.6301354055513695,-0.47036523797129726,-0.7413310837464956
Lao,wikipedia,unigram,Tai-Kadai,0.364342085955804,-0.23155564562620556,-0.12180078220896373,-0.04931492350198141,0.038329265381348065
Lao,wikipedia,trigram,Tai-Kadai,2.5276833643267413,-0.3830205985795032,-0.7691325746611266,-0.6654522245974053,-0.7100779664887061
Thai,wikipedia,unigram,Tai-Kadai,0.29332880427736807,0.1872356311572725,0.42085008957531134,0.0017417958519061472,-0.9031563208618576
Thai,wikipedia,trigram,Tai-Kadai,2.424109432018247,0.10627887001387437,-0.8412242428585621,-0.8754340072590276,-0.8137300519145317
Lezgian,wikipedia,unigram,Nakh-Daghestanian,0.29072214627488924,-0.13896851308507907,-0.06250832749794677,0.1712539224187153,-0.2604992281105787
Lezgian,wikipedia,trigram,Nakh-Daghestanian,2.072704699625815,-0.3269198804909894,-0.572393482438454,-0.46280074774820745,-0.7105905889481646
Malagasy,wikipedia,unigram,NA,0.5691805495612927,-0.629299795814549,-0.33264182517890806,-0.07369395782775578,0.4664550292599192
Malagasy,wikipedia,trigram,NA,1.5321666369971014,-0.6766858522312541,0.41180262105268883,-0.8883994076035249,-0.37888399821501184
Papiamentu,wikipedia,unigram,other,-0.002737247543773247,-0.30014829365038365,-0.16160522239913133,-0.30216165980833143,0.7666524234016201
Papiamentu,wikipedia,trigram,other,1.3348868067037751,-0.33873096473527653,-0.31101132847276647,-0.4443527517217425,-0.2407917617739892
Albanian,wikipedia,unigram,NA,0.26105411903513565,-0.17295393493080002,-0.273217947570513,-0.6028953199473399,0.7880130834135182
Albanian,wikipedia,trigram,NA,1.6964473219521365,-0.5351408067168801,-0.4472612681322379,-0.41996076448007225,-0.2940844826229463
Luganda,wikipedia,unigram,Niger-Congo,0.06259329122980573,-0.08872733714637437,-0.180241084231211,-0.01919472856875437,0.225569858716534
Luganda,wikipedia,trigram,Niger-Congo,1.8024666950939316,-0.18462786913237705,-0.5594580949327492,-0.6056812215802168,-0.4526995094485886
Swahili,wikipedia,unigram,NA,0.26280100690393615,-0.2503582275956995,-0.11238440107311876,-0.41615104543631,0.5160926672011921
Swahili,wikipedia,trigram,NA,1.800608967031862,-0.6008520292494148,-0.4710966865329207,-0.4335463413992,-0.2951139098503264
Tswana,wikipedia,unigram,Niger-Congo,0.049348151911331684,-0.245107272907243,-0.31529341772172703,-0.16365889386879529,0.6747114325864336
Tswana,wikipedia,trigram,Niger-Congo,1.4735966137674796,-0.4231150157430712,-0.38844304603250857,-0.3711803481384508,-0.29085820385344885
Tsonga,wikipedia,unigram,Niger-Congo,0.07243207500845417,-0.2597958494089285,0.010474786452562945,-0.2074245866700717,0.38431357461798354
Tsonga,wikipedia,trigram,Niger-Congo,1.603038412700587,-0.39264047509989475,-0.3534437429667052,-0.5348933970063753,-0.32206079762761197
Buryat,wikipedia,unigram,NA,0.21611220712167833,-0.10790717598684507,0.011473396710544925,0.1910573984671271,-0.3107358263125062
Buryat,wikipedia,trigram,NA,2.0942194007805472,-0.3440029610344364,-0.5679638837664804,-0.47502953906728007,-0.7072230169123506
Samoan,wikipedia,unigram,Austronesian,-0.4898665089742864,-0.2234199680580895,0.04540280864113777,-0.2356283736314917,0.9035120420227298
Samoan,wikipedia,trigram,Austronesian,0.5582211131056081,-0.18871458357653093,-0.07918917300659367,-0.341009819947267,0.050692463424783174
Tongan,wikipedia,unigram,Austronesian,-0.3572626487674784,-0.1331155314750676,-0.03782706537702607,0.020830196101275344,0.5073750495182976
Tongan,wikipedia,trigram,Austronesian,0.9085355906059194,-0.3863703178038971,-0.14405465611738566,-0.07298894687634383,-0.30512166980829236
Nahuatl,wikipedia,unigram,Uto-Aztecan,0.026895912204734973,-0.27200286664666473,-0.1183466037062666,-0.09218356576583098,0.45563712391402733
Nahuatl,wikipedia,trigram,Uto-Aztecan,1.7337995615160606,-0.08964409710452736,-0.4688940115917797,-0.6362692088666774,-0.5389922439530763
Somali,wikipedia,unigram,Afro-Asiatic,0.2751803327742195,-0.35112367240725373,-0.1955575218546297,-0.043493753925589296,0.31499461541325413
Somali,wikipedia,trigram,Afro-Asiatic,2.001671662602906,-0.5404517179993468,-0.4380858663379441,-0.5373137747582342,-0.48582030350738026
Aymara,wikipedia,unigram,NA,0.4573802797844788,-0.4097453936681825,0.02825272969238979,-0.3045425764850811,0.22865496067639413
Aymara,wikipedia,trigram,NA,1.9063889463017922,-0.6326183970893208,-0.1996822026157874,-0.48162975997314783,-0.5924585866235365
Guarani,wikipedia,unigram,NA,0.26412602926259243,-0.4175462867376303,-0.17741918262769385,0.13200886298460235,0.19883057711812846
Guarani,wikipedia,trigram,NA,1.8415733641760916,-0.5444260302053172,-0.4866811306631347,-0.22735527266950117,-0.5831109306381382
Kabyle,wikipedia,unigram,Afro-Asiatic,0.3447022668695916,-0.25214876379272777,-0.15341082459513355,-0.4766838869848944,0.537541208503165
Kabyle,wikipedia,trigram,Afro-Asiatic,1.8869797964886414,-0.5485818546914086,-0.5155936137860525,-0.4555389444785203,-0.36726538353266025
Hausa,wikipedia,unigram,Afro-Asiatic,0.23083253400478343,-0.3911848504290041,-0.1060239785809367,-0.028370684088345755,0.2947469790935022
Hausa,wikipedia,trigram,Afro-Asiatic,1.744717808604685,-0.5589294533325978,-0.45684625804551215,-0.40069821075013623,-0.3282438864764383
Tetum,wikipedia,unigram,Austronesian,0.18137969641021723,-0.38877198372240196,-0.11833097643835133,0.0017300339968828737,0.3239932297536532
Tetum,wikipedia,trigram,Austronesian,1.5933243951785587,-0.10074458582218981,-0.4644082286866119,-0.6974361952612852,-0.33073538540847136
Tulu,wikipedia,unigram,Dravidian,0.03862020104133457,-0.12431577164006935,-0.029764965182096148,0.11535583011043027,1.0470567039888579e-4
Tulu,wikipedia,trigram,Dravidian,2.192456290647317,-0.1545381177568952,-0.6496296970609716,-0.6843918471735202,-0.7038966286559303
Kabiye,wikipedia,unigram,Niger-Congo,0.3300564480634063,-0.06318307691873093,-0.16433239048898285,0.10390754169318672,-0.20644852234887923
Kabiye,wikipedia,trigram,Niger-Congo,1.6459904005289303,-0.32471355898931487,-0.45974901245507205,-0.35932993186538154,-0.5021978972191615
Maori,wikipedia,unigram,Austronesian,-0.49495814300500385,0.3296819838856315,-0.3984520824536313,-0.012600378053916117,0.5763286196269193
Maori,wikipedia,trigram,Austronesian,0.6320164250740011,-0.19385693632026124,-0.047242889777635244,-0.4887864813111572,0.09786988233505267
Nepali,wikipedia,unigram,Indo-European,0.8116435101009891,0.037652658056742894,-0.27063990174439745,-0.5187617639212445,-0.05989450249208961
Nepali,wikipedia,trigram,Indo-European,2.461606452697987,-0.4444531121294968,-0.6626847464000456,-0.8610007619622001,-0.4934678322062448
Mongolian,wikipedia,unigram,NA,0.2755512080065339,-0.06443974524509954,-0.08831649245801154,0.08624174599542389,-0.2090367162988458
Mongolian,wikipedia,trigram,NA,2.0718772828673395,-0.21418322208544516,-0.555771309522149,-0.6103716147771514,-0.6915511364825941
Hindi,wikipedia,unigram,Indo-European,0.24395816048699315,0.020645874830677258,-0.1420126341042054,0.0771560918342451,-0.19974749304770922
Hindi,wikipedia,trigram,Indo-European,1.9842097453568965,0.019989674807787905,-0.746686640952216,-0.6624972272334181,-0.5950155519790505
Danish,wikipedia,unigram,Indo-European,-0.05878934295175808,-0.2724385129161577,-0.10491628087663774,-0.36319230854285234,0.7993364452874059
Danish,wikipedia,trigram,Indo-European,1.8134148906654515,-0.4773799510131329,-0.45670037671666064,-0.4543184031658014,-0.4250161597698563
Hebrew,wikipedia,unigram,Afro-Asiatic,0.0014867636091295822,-0.13349394451299101,-0.19451586476656724,0.012272873054013367,0.31425017261641663
Hebrew,wikipedia,trigram,Afro-Asiatic,2.3594627655420237,-0.0679968500814101,-0.6988879667700639,-0.7617822406963547,-0.830795707994195
Indonesian,wikipedia,unigram,Austronesian,0.08872929222919712,-0.06373261495309279,-0.24757977625685967,-0.1388789094828513,0.36146200846360577
Indonesian,wikipedia,trigram,Austronesian,1.9457095153411839,-0.05628019160159781,-0.721647589941778,-0.550924351527396,-0.6168573822704118
Serbian,wikipedia,unigram,NA,0.07173454338644447,-0.291817776823335,-0.18968203970359943,-0.02530358182597059,0.43506885496645875
Serbian,wikipedia,trigram,NA,2.3103176905076466,-0.15839267177093785,-0.6592052096768712,-0.7267383002711406,-0.7659815087886966
Ukrainian,wikipedia,unigram,Indo-European,0.09899096016565334,-0.05530876023313791,-0.25712307709734805,-0.11584851401587137,0.3292893911807049
Ukrainian,wikipedia,trigram,Indo-European,2.3549566438217706,0.00836217541173867,-0.7138435744442543,-0.7907066331758797,-0.858768611613375
Russian,wikipedia,unigram,Indo-European,0.019704036332433006,-0.08591023162832157,-0.18346528607618362,-0.07002116261964186,0.31969264399171404
Russian,wikipedia,trigram,Indo-European,2.3139070268049453,0.052058669896063,-0.7238480556605068,-0.7725393026367888,-0.8695783384037121
German,wikipedia,unigram,Indo-European,-0.39593799886471226,0.012265122459245603,-0.22187697378177873,0.09804072009301912,0.5075091300942272
German,wikipedia,trigram,Indo-European,1.5428073372684132,0.38859745587501093,-0.5636037970317119,-0.6441950149764514,-0.7236059811352604
Japanese,wikipedia,unigram,Japanese,0.3484777983554723,0.18693280346317565,0.023823960674439704,-0.15898119426133928,-0.4002533682317466
Japanese,wikipedia,trigram,Japanese,2.891912825222748,-0.33615448693953764,-0.9132819170351392,-0.8588520499320969,-0.7836243713159738
Arabic,wikipedia,unigram,Afro-Asiatic,-0.42962446620087924,-0.04435115875202289,-0.013000241964483017,0.1043443118884797,0.38263155502890633
Arabic,wikipedia,trigram,Afro-Asiatic,1.9445201601481932,-0.08195565254443182,-0.635641961278886,-0.46054606305541024,-0.7663764832694647
English,wikipedia,unigram,NA,-0.3088063783373354,0.05141129202510042,-0.1660622530247906,-0.0818234541244629,0.5052807934614894
English,wikipedia,trigram,NA,1.224140888418455,0.31018569764528126,-0.5098859895201195,-0.5982601727602983,-0.4261804237833189
Chinese,wikipedia,unigram,Sino-Tibetan,0.3799745900861504,-0.3357679123424928,-0.12201956239128808,-0.007016085048063836,0.0848289696956952
Chinese,wikipedia,trigram,Sino-Tibetan,3.4392715337320987,-0.9086862382560976,-0.8516736673395644,-0.8908299866823921,-0.7880816414540444
Spanish,wikipedia,unigram,Indo-European,-0.4478423723331453,0.056316545366977167,-0.3080917021025176,-0.19915185855797235,0.8987693876266585
