feature,type
1A,phonology
3A,phonology
4A,phonology
5A,phonology
6A,phonology
7A,phonology
8A,phonology
10A,phonology
11A,phonology
20A,phonology
21A,phonology
22A,phonology
23A,phonology
24A,phonology
25A,phonology
26A,phonology
27A,phonology
28A,phonology
29A,phonology
30A,nom_categories
31A,nom_categories
32A,nom_categories
33A,nom_categories
34A,nom_categories
35A,nom_categories
36A,nom_categories
37A,nom_categories
38A,nom_categories
39A,nom_categories
40A,nom_categories
41A,nom_categories
42A,nom_categories
43A,nom_categories
44A,nom_categories
45A,nom_categories
46A,nom_categories
47A,nom_categories
48A,nom_categories
49A,nom_categories
50A,nom_categories
51A,nom_categories
52A,nom_categories
53A,nom_categories
54A,nom_categories
55A,nom_categories
56A,nom_categories
57A,nom_categories
58A,nom_syntax
59A,nom_syntax
60A,nom_syntax
61A,nom_syntax
62A,nom_syntax
63A,nom_syntax
64A,nom_syntax
65A,verb_categories
66A,verb_categories
67A,verb_categories
68A,verb_categories
69A,verb_categories
70A,verb_categories
71A,verb_categories
72A,verb_categories
73A,verb_categories
74A,verb_categories
75A,verb_categories
76A,verb_categories
77A,verb_categories
78A,verb_categories
79A,verb_categories
80A,verb_categories
81A,word_order
82A,word_order
83A,word_order
84A,word_order
85A,word_order
86A,word_order
87A,word_order
88A,word_order
89A,word_order
90A,word_order
91A,word_order
92A,word_order
93A,word_order
94A,word_order
95A,word_order
96A,word_order
97A,word_order
98A,claueses
99A,claueses
100A,claueses
101A,claueses
102A,claueses
103A,claueses
104A,claueses
105A,claueses
106A,claueses
107A,claueses
108A,claueses
109A,claueses
110A,claueses
111A,claueses
112A,claueses
113A,claueses
114A,claueses
115A,claueses
116A,claueses
117A,claueses
118A,claueses
119A,claueses
120A,claueses